Order ID,Product 1,Product 2,Product 3
176560,Google Phone,Wired Headphones,nan
176574,Google Phone,USB-C Charging Cable,nan
176585,Bose SoundSport Headphones,Bose SoundSport Headphones,nan
176586,AAA Batteries (4-pack),Google Phone,nan
176672,Lightning Charging Cable,USB-C Charging Cable,nan
176681,Apple Airpods Headphones,ThinkPad Laptop,nan
176689,Bose SoundSport Headphones,AAA Batteries (4-pack),nan
176739,34in Ultrawide Monitor,Google Phone,nan
176774,Lightning Charging Cable,USB-C Charging Cable,nan
176781,iPhone,Lightning Charging Cable,nan
176797,Google Phone,Bose SoundSport Headphones,Wired Headphones
176805,Google Phone,USB-C Charging Cable,nan
176808,Google Phone,Wired Headphones,nan
176813,Google Phone,Wired Headphones,nan
176935,AAA Batteries (4-pack),27in FHD Monitor,nan
176975,USB-C Charging Cable,AAA Batteries (4-pack),nan
176989,Google Phone,USB-C Charging Cable,nan
176993,iPhone,Wired Headphones,nan
177022,iPhone,Wired Headphones,nan
177102,iPhone,27in 4K Gaming Monitor,nan
177115,iPhone,Lightning Charging Cable,nan
177117,ThinkPad Laptop,AAA Batteries (4-pack),nan
177167,iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)
177178,iPhone,Lightning Charging Cable,nan
177181,Wired Headphones,Apple Airpods Headphones,nan
177182,Macbook Pro Laptop,ThinkPad Laptop,nan
177184,AA Batteries (4-pack),Flatscreen TV,nan
177198,Vareebadd Phone,USB-C Charging Cable,nan
177201,USB-C Charging Cable,Lightning Charging Cable,nan
177213,iPhone,Lightning Charging Cable,nan
177228,Google Phone,AA Batteries (4-pack),nan
177254,AA Batteries (4-pack),AAA Batteries (4-pack),nan
177256,Bose SoundSport Headphones,AA Batteries (4-pack),nan
177300,20in Monitor,Apple Airpods Headphones,nan
177367,Google Phone,USB-C Charging Cable,Bose SoundSport Headphones
177398,27in FHD Monitor,AAA Batteries (4-pack),nan
177428,Vareebadd Phone,USB-C Charging Cable,nan
177441,iPhone,Lightning Charging Cable,nan
177443,Apple Airpods Headphones,27in 4K Gaming Monitor,nan
177448,Google Phone,USB-C Charging Cable,nan
177486,ThinkPad Laptop,Google Phone,nan
177504,Google Phone,USB-C Charging Cable,nan
177506,iPhone,Apple Airpods Headphones,nan
177511,iPhone,Lightning Charging Cable,nan
177569,Wired Headphones,Google Phone,nan
177578,Google Phone,USB-C Charging Cable,nan
177582,Bose SoundSport Headphones,Wired Headphones,nan
177592,iPhone,Lightning Charging Cable,nan
177638,Apple Airpods Headphones,Google Phone,nan
177681,AAA Batteries (4-pack),Macbook Pro Laptop,nan
177719,Google Phone,USB-C Charging Cable,nan
177758,USB-C Charging Cable,Lightning Charging Cable,nan
177769,iPhone,Lightning Charging Cable,nan
177778,iPhone,Apple Airpods Headphones,nan
177782,Lightning Charging Cable,27in 4K Gaming Monitor,nan
177795,Apple Airpods Headphones,Apple Airpods Headphones,nan
177800,Google Phone,USB-C Charging Cable,Wired Headphones
177815,Apple Airpods Headphones,Lightning Charging Cable,nan
177861,AA Batteries (4-pack),Apple Airpods Headphones,nan
177874,iPhone,Apple Airpods Headphones,nan
177971,iPhone,Lightning Charging Cable,nan
177996,iPhone,Lightning Charging Cable,nan
178009,34in Ultrawide Monitor,USB-C Charging Cable,nan
178029,iPhone,Apple Airpods Headphones,nan
178106,AAA Batteries (4-pack),Wired Headphones,nan
178118,iPhone,AAA Batteries (4-pack),nan
178135,Lightning Charging Cable,AA Batteries (4-pack),nan
178137,Lightning Charging Cable,AA Batteries (4-pack),nan
178158,Google Phone,USB-C Charging Cable,Wired Headphones
178162,iPhone,Lightning Charging Cable,nan
178168,AA Batteries (4-pack),Macbook Pro Laptop,nan
178190,Vareebadd Phone,Wired Headphones,nan
178221,Flatscreen TV,Lightning Charging Cable,nan
178242,iPhone,Lightning Charging Cable,nan
178258,iPhone,Apple Airpods Headphones,nan
178280,iPhone,Lightning Charging Cable,nan
178290,Wired Headphones,ThinkPad Laptop,nan
178404,Bose SoundSport Headphones,USB-C Charging Cable,nan
178412,Vareebadd Phone,Wired Headphones,nan
178432,Bose SoundSport Headphones,USB-C Charging Cable,nan
178523,USB-C Charging Cable,20in Monitor,nan
178525,AAA Batteries (4-pack),AA Batteries (4-pack),nan
178527,AA Batteries (4-pack),Bose SoundSport Headphones,nan
178572,USB-C Charging Cable,27in 4K Gaming Monitor,nan
178749,iPhone,Lightning Charging Cable,nan
178781,Google Phone,Wired Headphones,nan
178825,iPhone,Apple Airpods Headphones,nan
178886,Google Phone,Wired Headphones,nan
178954,Google Phone,USB-C Charging Cable,nan
178989,Vareebadd Phone,USB-C Charging Cable,nan
178990,Google Phone,USB-C Charging Cable,nan
179000,iPhone,Lightning Charging Cable,nan
179028,27in 4K Gaming Monitor,Bose SoundSport Headphones,nan
179057,Google Phone,USB-C Charging Cable,nan
179076,Google Phone,USB-C Charging Cable,nan
179108,Lightning Charging Cable,AAA Batteries (4-pack),nan
179128,iPhone,Apple Airpods Headphones,nan
179162,Google Phone,USB-C Charging Cable,nan
179226,34in Ultrawide Monitor,Macbook Pro Laptop,nan
179270,iPhone,Lightning Charging Cable,nan
179311,Wired Headphones,USB-C Charging Cable,nan
179328,Wired Headphones,AA Batteries (4-pack),nan
179340,Macbook Pro Laptop,Apple Airpods Headphones,nan
179357,Google Phone,USB-C Charging Cable,nan
179377,USB-C Charging Cable,AA Batteries (4-pack),nan
179379,Google Phone,Bose SoundSport Headphones,nan
179434,Macbook Pro Laptop,20in Monitor,nan
179453,iPhone,Wired Headphones,nan
179485,Vareebadd Phone,USB-C Charging Cable,nan
179514,Google Phone,USB-C Charging Cable,nan
179530,Google Phone,USB-C Charging Cable,nan
179538,Vareebadd Phone,Bose SoundSport Headphones,nan
179540,iPhone,Lightning Charging Cable,nan
179544,Wired Headphones,Flatscreen TV,nan
179653,AA Batteries (4-pack),Flatscreen TV,nan
179745,Google Phone,USB-C Charging Cable,nan
179808,USB-C Charging Cable,27in FHD Monitor,nan
179820,Google Phone,USB-C Charging Cable,nan
179835,Google Phone,Wired Headphones,nan
179837,Google Phone,USB-C Charging Cable,nan
179885,20in Monitor,Bose SoundSport Headphones,nan
179944,Flatscreen TV,AA Batteries (4-pack),nan
179966,iPhone,Lightning Charging Cable,nan
179969,Google Phone,Wired Headphones,nan
179998,iPhone,Apple Airpods Headphones,nan
180000,iPhone,Lightning Charging Cable,nan
180031,Vareebadd Phone,USB-C Charging Cable,nan
180108,Bose SoundSport Headphones,AA Batteries (4-pack),nan
180135,Google Phone,Wired Headphones,nan
180161,USB-C Charging Cable,ThinkPad Laptop,nan
180207,Apple Airpods Headphones,Apple Airpods Headphones,nan
180213,27in FHD Monitor,AAA Batteries (4-pack),nan
180227,USB-C Charging Cable,Bose SoundSport Headphones,nan
180237,iPhone,AAA Batteries (4-pack),nan
180322,USB-C Charging Cable,iPhone,nan
180333,AA Batteries (4-pack),Wired Headphones,nan
180353,27in FHD Monitor,AA Batteries (4-pack),nan
180365,Lightning Charging Cable,Google Phone,nan
180370,Google Phone,USB-C Charging Cable,nan
180382,AA Batteries (4-pack),AAA Batteries (4-pack),nan
180397,AA Batteries (4-pack),Apple Airpods Headphones,nan
180399,iPhone,Lightning Charging Cable,nan
180406,Bose SoundSport Headphones,Lightning Charging Cable,nan
180422,Google Phone,USB-C Charging Cable,nan
180456,iPhone,Apple Airpods Headphones,nan
